,City_name,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness
0,flin flon,53.6,46.0,8.05,5954718.0,CA,-101.88,54.77,75.0
1,severo-kurilsk,38.38,96.0,14.76,2121385.0,RU,156.12,50.68,97.0
2,codrington,54.03,93.0,5.82,2160063.0,AU,153.24,-28.95,0.0
3,bredasdorp,66.13,68.0,11.41,1015776.0,ZA,20.04,-34.53,100.0
5,kindersley,63.59,27.0,3.36,5992154.0,CA,-109.16,51.47,40.0
6,kavieng,84.28,73.0,9.91,2094342.0,PG,150.8,-2.57,100.0
7,brae,47.43,75.0,10.29,2654970.0,GB,-1.35,60.4,100.0
8,hithadhoo,84.1,76.0,7.27,1282256.0,MV,73.08,-0.6,60.0
9,ponta delgada,68.0,77.0,5.82,3372783.0,PT,-25.67,37.73,40.0
10,kaitangata,54.0,68.0,1.99,2208248.0,NZ,169.85,-46.28,100.0
11,neiafu,75.2,94.0,2.24,4032420.0,TO,-173.98,-18.65,40.0
12,busselton,42.35,67.0,16.64,2075265.0,AU,115.35,-33.64,0.0
13,kudahuvadhoo,85.0,77.0,15.46,1337607.0,MV,72.89,2.67,83.0
14,port macquarie,45.77,93.0,2.93,2152659.0,AU,152.91,-31.43,0.0
15,jamestown,52.96,79.0,14.79,2069194.0,AU,138.6,-33.21,10.0
16,nantucket,71.26,77.0,14.99,4944903.0,US,-70.1,41.28,1.0
17,sao joao da barra,79.39,57.0,11.41,3448903.0,BR,-41.05,-21.64,20.0
18,castlebar,54.66,87.0,20.8,2965654.0,IE,-9.3,53.86,75.0
19,katobu,76.0,95.0,5.03,1640972.0,ID,122.53,-4.94,100.0
20,port lincoln,57.28,68.0,25.55,2063036.0,AU,135.86,-34.72,84.0
21,padampur,97.24,15.0,3.04,1260938.0,IN,73.62,29.71,0.0
23,cayenne,87.8,62.0,14.99,3382160.0,GF,-52.33,4.94,40.0
24,norman wells,53.6,71.0,14.99,6089245.0,CA,-126.83,65.28,75.0
25,upernavik,32.08,87.0,8.7,3418910.0,GL,-56.15,72.79,89.0
26,ushuaia,41.0,73.0,8.05,3833367.0,AR,-68.31,-54.81,40.0
27,tasiilaq,39.2,59.0,10.29,3424607.0,GL,-37.64,65.61,0.0
28,thunder bay,52.43,58.0,6.93,6166142.0,CA,-89.26,48.41,90.0
29,provideniya,41.26,75.0,2.39,4031574.0,RU,-173.23,64.42,68.0
30,cap malheureux,73.13,73.0,8.05,934649.0,MU,57.61,-19.98,75.0
31,west wendover,60.8,55.0,6.93,5710035.0,US,-114.07,40.74,1.0
32,tautira,75.09,94.0,3.36,4033557.0,PF,-149.15,-17.73,75.0
33,avarua,75.2,73.0,10.29,4035715.0,CK,-159.78,-21.21,6.0
34,punta arenas,39.09,80.0,5.82,3874787.0,CL,-70.91,-53.16,75.0
35,ozernovskiy,39.64,94.0,4.29,2122293.0,RU,156.52,51.5,96.0
36,aksu,39.2,60.0,6.71,1524298.0,KZ,76.93,52.04,0.0
37,ajaccio,61.65,82.0,9.91,6452235.0,FR,8.74,41.93,90.0
38,cabedelo,86.0,70.0,11.41,3404558.0,BR,-34.84,-6.97,75.0
39,dikson,24.16,93.0,10.58,1507390.0,RU,80.55,73.51,0.0
41,hobart,43.77,52.0,13.87,2163355.0,AU,147.33,-42.88,20.0
42,vestmannaeyjar,44.6,81.0,9.17,3412093.0,IS,-20.27,63.44,90.0
43,alofi,75.2,88.0,11.41,4036284.0,NU,-169.92,-19.06,4.0
44,carnarvon,63.4,30.0,10.76,1014034.0,ZA,22.13,-30.97,63.0
45,saint-philippe,73.53,53.0,12.75,6138908.0,CA,-73.48,45.36,75.0
46,cabra,82.65,14.0,8.05,2520645.0,ES,-4.43,37.47,0.0
48,feldbach,69.57,53.0,1.12,2779685.0,AT,15.89,46.95,75.0
50,tual,83.74,78.0,19.15,1623197.0,ID,132.75,-5.67,32.0
52,longyearbyen,28.4,58.0,19.46,2729907.0,NO,15.63,78.22,20.0
53,dukat,68.0,70.0,5.08,786562.0,RS,22.31,42.44,62.0
55,jalu,92.2,20.0,16.31,86049.0,LY,21.55,29.03,100.0
56,vaini,80.68,83.0,2.84,1273574.0,IN,74.49,15.34,40.0
57,albany,79.39,47.0,13.87,5106834.0,US,-73.75,42.65,75.0
58,karaton,82.17,74.0,1.12,1630058.0,ID,106.1,-6.34,40.0
60,saldanha,76.36,39.0,14.43,2737599.0,PT,-6.55,41.42,0.0
61,castro,50.0,71.0,6.93,3896218.0,CL,-73.76,-42.48,0.0
62,inhambane,66.2,88.0,3.49,1045114.0,MZ,35.38,-23.87,40.0
63,mataura,54.0,90.0,1.01,6201424.0,NZ,168.86,-46.19,99.0
64,puerto ayora,79.54,69.0,20.8,3652764.0,EC,-90.35,-0.74,20.0
66,arraial do cabo,76.08,73.0,10.29,3471451.0,BR,-42.02,-22.97,20.0
67,obihiro,65.56,37.0,6.55,2128815.0,JP,143.2,42.92,2.0
68,penzance,57.96,93.0,13.87,2640377.0,GB,-5.53,50.12,40.0
69,butaritari,84.46,77.0,15.23,2110227.0,KI,172.79,3.07,42.0
70,rikitea,72.58,81.0,27.54,4030556.0,PF,-134.97,-23.12,99.0
71,namatanai,77.98,84.0,5.5,2090021.0,PG,152.44,-3.66,100.0
73,isangel,76.9,76.0,5.61,2136825.0,VU,169.27,-19.55,1.0
74,saint george,71.49,46.0,10.29,262462.0,GR,22.34,39.45,40.0
75,kruisfontein,69.88,30.0,6.76,986717.0,ZA,24.73,-34.0,85.0
76,mwinilunga,60.16,83.0,4.12,902620.0,ZM,24.43,-11.73,54.0
77,port alfred,75.0,47.0,4.0,964432.0,ZA,26.89,-33.59,48.0
78,marzuq,83.74,28.0,6.91,72181.0,YE,46.47,14.4,8.0
79,puerto escondido,87.8,66.0,8.05,3520994.0,MX,-97.07,15.86,20.0
80,sivaki,45.04,60.0,5.44,2016477.0,RU,126.75,52.63,32.0
81,yellowknife,47.93,45.0,5.82,6185377.0,CA,-114.38,62.45,75.0
82,canchungo,87.73,31.0,8.05,2373951.0,GW,-16.03,12.07,0.0
83,ostersund,44.85,54.0,19.46,2685750.0,SE,14.64,63.18,0.0
84,fort nelson,66.2,45.0,4.7,5955902.0,CA,-122.69,58.81,5.0
85,castelo branco,87.01,13.0,5.99,2269514.0,PT,-7.5,39.82,0.0
86,black river,84.69,74.0,12.75,3491355.0,JM,-77.85,18.03,20.0
87,atuona,81.58,78.0,14.58,4020109.0,PF,-139.03,-9.8,26.0
88,birao,97.24,23.0,0.72,240210.0,CF,22.78,10.3,94.0
89,ekhabi,38.2,89.0,4.97,2122614.0,RU,142.97,53.51,100.0
90,barrow,61.78,58.0,11.25,3833859.0,AR,-60.23,-38.31,100.0
92,hilo,69.03,83.0,3.36,5855927.0,US,-155.08,19.71,90.0
94,mehamn,41.63,86.0,10.29,778707.0,NO,27.85,71.03,75.0
95,shingu,56.92,59.0,2.91,1847947.0,JP,135.99,33.72,100.0
97,georgetown,87.91,79.0,16.11,3378644.0,GY,-58.16,6.8,75.0
98,russell,66.2,25.0,14.99,3844421.0,AR,-68.8,-33.01,0.0
99,sidhi,97.06,13.0,6.98,1256369.0,IN,81.88,24.41,0.0
100,laramie,62.58,20.0,9.17,5830062.0,US,-105.59,41.31,75.0
101,bluff,61.06,66.0,3.98,2175403.0,AU,149.07,-23.58,55.0
102,bayir,71.85,64.0,5.82,304183.0,TR,28.22,37.27,0.0
103,vila velha,84.29,70.0,16.11,6320062.0,BR,-38.6,-3.71,20.0
105,kapaa,76.87,74.0,11.41,5848280.0,US,-159.32,22.08,75.0
106,margate,43.74,88.0,17.22,2158744.0,AU,147.26,-43.03,20.0
107,kamaishi,55.12,63.0,2.21,2112444.0,JP,141.86,39.28,75.0
108,stancuta,70.6,57.0,4.25,666309.0,RO,27.83,44.9,47.0
109,ankang,63.94,44.0,6.17,1789065.0,CN,108.99,32.73,1.0
111,port elizabeth,85.51,45.0,8.05,4501427.0,US,-74.98,39.31,1.0
112,morant bay,87.8,62.0,11.41,3489440.0,JM,-76.41,17.88,75.0
113,sao miguel,76.54,86.0,3.06,3627382.0,BR,-61.01,4.52,55.0
115,guerrero negro,63.4,75.0,7.94,4021858.0,MX,-114.04,27.97,0.0
116,husavik,51.19,48.0,3.0,5961417.0,CA,-96.99,50.56,87.0
117,ahipara,63.22,83.0,7.31,2194098.0,NZ,173.16,-35.17,7.0
118,kodiak,78.98,61.0,6.93,4407665.0,US,-94.76,39.95,1.0
119,mahebourg,72.72,73.0,8.05,934322.0,MU,57.7,-20.41,75.0
120,mount isa,66.2,42.0,16.11,2065594.0,AU,139.49,-20.73,69.0
121,te anau,47.2,95.0,3.65,2181625.0,NZ,167.72,-45.41,92.0
122,alenquer,80.6,94.0,4.7,3407980.0,BR,-54.74,-1.95,20.0
123,sao miguel do araguaia,94.36,40.0,2.86,3448455.0,BR,-50.16,-13.28,7.0
124,kriel,55.0,48.0,2.35,987202.0,ZA,29.26,-26.26,34.0
125,marsh harbour,77.98,82.0,12.55,3571913.0,BS,-77.06,26.54,1.0
126,souillac,64.38,63.0,10.29,3026644.0,FR,-0.6,45.6,75.0
127,tigil,42.88,85.0,8.14,2120612.0,RU,158.67,57.8,100.0
128,kaeo,59.0,96.0,1.34,2189343.0,NZ,173.78,-35.1,3.0
129,cape town,62.94,88.0,2.24,3369157.0,ZA,18.42,-33.93,0.0
130,cidreira,71.68,59.0,4.16,3466165.0,BR,-50.22,-30.17,90.0
131,khatanga,34.96,94.0,3.89,2022572.0,RU,102.47,71.98,73.0
132,karlshamn,56.19,66.0,9.17,2701727.0,SE,14.86,56.17,0.0
133,pevek,34.6,93.0,5.44,2122090.0,RU,170.27,69.7,84.0
134,mar del plata,46.66,51.0,13.85,3863379.0,AR,-67.52,-46.43,88.0
135,gobabis,62.6,27.0,3.36,3357247.0,NA,18.97,-22.45,0.0
136,gaoyou,70.93,90.0,6.55,1810309.0,CN,119.43,32.79,34.0
138,bethel,52.68,66.0,4.7,5880568.0,US,-161.76,60.79,20.0
139,santa maria da vitoria,86.44,45.0,3.53,3450063.0,BR,-44.19,-13.39,33.0
140,banda aceh,85.0,74.0,8.01,1215502.0,ID,95.32,5.56,89.0
141,georgiyevka,54.76,95.0,6.8,565857.0,RU,40.45,52.25,100.0
142,zonguldak,65.92,80.0,4.56,737021.0,TR,31.83,41.25,1.0
144,booue,76.9,94.0,1.79,2401495.0,GA,11.94,-0.09,86.0
145,siyabuswa,61.42,44.0,5.23,955313.0,ZA,29.06,-25.11,0.0
146,dunedin,57.0,66.0,8.99,2191562.0,NZ,170.5,-45.87,89.0
147,roald,47.52,66.0,9.17,3141667.0,NO,6.12,62.58,40.0
148,tweed,70.29,50.0,11.41,6170799.0,CA,-77.31,44.48,75.0
149,nanortalik,43.06,63.0,8.3,3421765.0,GL,-45.24,60.14,23.0
150,port blair,86.08,76.0,9.84,1259385.0,IN,92.75,11.67,100.0
151,lubango,68.98,31.0,2.01,3347762.0,AO,13.49,-14.92,0.0
152,shumskiy,59.08,44.0,12.82,1491977.0,RU,99.13,54.83,98.0
154,san cristobal,60.64,60.0,5.82,3652462.0,EC,-78.55,-0.39,75.0
155,nioro,99.4,19.0,5.99,2413070.0,GM,-15.05,13.79,98.0
156,thompson,51.8,34.0,5.82,6165406.0,CA,-97.86,55.74,40.0
157,manaus,88.68,62.0,3.36,3663517.0,BR,-59.98,-3.13,40.0
158,laguna,84.2,35.0,10.29,4013704.0,MX,-110.01,27.52,40.0
159,hermanus,63.88,87.0,8.99,3366880.0,ZA,19.24,-34.42,100.0
160,westport,54.64,87.0,20.8,2960970.0,IE,-9.52,53.8,75.0
161,dicabisagan,77.08,83.0,1.72,1715015.0,PH,122.42,17.08,100.0
162,newport,61.63,82.0,12.75,2641598.0,GB,-3.0,51.59,20.0
163,tateyama,69.21,57.0,4.0,1849876.0,JP,137.31,36.66,25.0
164,kuznechikha,50.8,85.0,5.57,467539.0,RU,41.73,63.45,48.0
165,poum,60.8,77.0,4.83,787487.0,MK,20.71,41.28,90.0
166,chokurdakh,32.26,96.0,10.09,2126123.0,RU,147.9,70.62,95.0
167,coquimbo,68.0,34.0,6.26,3893629.0,CL,-71.34,-29.95,33.0
168,ust-nera,37.12,73.0,4.94,2120048.0,RU,143.24,64.57,12.0
169,kavaratti,85.9,75.0,11.18,1267390.0,IN,72.64,10.57,95.0
170,eruwa,91.66,44.0,6.11,2338669.0,NG,3.42,7.53,85.0
171,polyarnyy,46.4,52.0,11.18,506763.0,RU,33.45,69.2,0.0
172,ribeira grande,68.0,82.0,3.36,3372707.0,PT,-28.7,38.52,20.0
173,kalemie,67.18,82.0,3.29,214974.0,CD,29.2,-5.95,47.0
174,tuktoyaktuk,30.2,92.0,3.36,6170031.0,CA,-133.03,69.44,90.0
175,tomatlan,88.24,57.0,8.86,3981391.0,MX,-105.25,19.93,98.0
176,bratca,69.93,68.0,3.36,683837.0,RO,22.61,46.93,0.0
177,chiang khong,78.57,88.0,8.05,1611197.0,LA,100.41,20.27,20.0
178,kijang,68.0,88.0,4.7,1842966.0,KR,129.21,35.24,100.0
179,vao,47.2,90.0,10.78,588365.0,EE,26.19,59.1,93.0
180,marawi,75.99,90.0,5.99,1701054.0,PH,124.29,8.0,100.0
182,kununurra,71.6,46.0,6.93,2068110.0,AU,128.74,-15.77,0.0
183,ponta do sol,72.58,44.0,0.81,3453439.0,BR,-46.0,-20.63,0.0
184,vanimo,81.76,77.0,6.17,2084442.0,PG,141.3,-2.67,68.0
185,kenai,48.07,87.0,13.87,5866063.0,US,-151.26,60.55,90.0
186,tarnogskiy gorodok,54.94,73.0,2.57,484314.0,RU,43.58,60.5,30.0
187,tottori,68.08,57.0,7.29,1849892.0,JP,134.23,35.5,100.0
188,baracoa,80.86,77.0,12.53,3567834.0,CU,-74.5,20.35,98.0
189,krasnyy kholm,53.86,73.0,3.22,541704.0,RU,37.11,58.06,41.0
191,nabire,69.16,99.0,1.1,1634614.0,ID,135.5,-3.36,98.0
192,zaysan,50.8,85.0,5.73,1517060.0,KZ,84.87,47.47,100.0
193,new norfolk,43.75,88.0,17.22,2155415.0,AU,147.06,-42.78,20.0
194,muhos,47.34,81.0,3.36,645765.0,FI,26.0,64.81,97.0
195,sabzevar,73.66,39.0,6.64,118063.0,IR,57.68,36.21,98.0
196,catuday,83.2,77.0,8.55,1717787.0,PH,119.81,16.29,100.0
197,enshi,63.76,82.0,1.21,1811720.0,CN,109.48,30.29,17.0
198,timiryazevskoye,41.4,64.0,8.95,1489597.0,RU,84.88,56.49,0.0
200,aklavik,44.87,75.0,8.05,5882953.0,CA,-135.01,68.22,40.0
201,pochutla,90.21,66.0,8.05,3517970.0,MX,-96.47,15.74,20.0
202,bathsheba,86.0,62.0,16.11,3374083.0,BB,-59.52,13.22,40.0
203,salalah,86.0,79.0,6.93,286621.0,OM,54.1,17.01,40.0
204,airai,74.38,75.0,7.31,1651810.0,TL,125.41,-8.93,7.0
205,fuyang,75.79,100.0,2.24,1810846.0,CN,119.96,30.05,75.0
207,makakilo city,79.0,61.0,4.7,5850554.0,US,-158.09,21.35,1.0
208,impfondo,77.98,77.0,2.84,2259655.0,CD,18.06,1.62,96.0
209,anloga,84.2,83.0,13.87,2304548.0,GH,0.9,5.79,20.0
210,chuy,63.76,75.0,5.86,3443061.0,UY,-53.46,-33.69,100.0
211,nishihara,65.97,63.0,4.7,1850144.0,JP,139.53,35.74,1.0
212,san carlos de bariloche,51.8,50.0,17.22,7647007.0,AR,-71.31,-41.13,20.0
213,kristianstad,55.71,62.0,8.05,2699310.0,SE,14.16,56.03,40.0
214,cabo san lucas,83.86,39.0,11.43,3985710.0,MX,-109.91,22.89,75.0
215,hunchun,58.36,61.0,2.71,2036653.0,CN,130.36,42.86,100.0
216,aykhal,46.4,45.0,4.47,2027296.0,RU,111.51,65.95,90.0
218,nchelenge,72.58,68.0,4.36,175499.0,ZM,28.74,-9.35,88.0
219,hobyo,84.28,76.0,20.4,57000.0,SO,48.53,5.35,89.0
220,pechenga,54.04,77.0,3.38,511866.0,RU,41.46,58.89,24.0
221,hambantota,80.6,100.0,6.93,1244926.0,LK,81.12,6.12,0.0
223,lompoc,56.25,82.0,3.36,5367788.0,US,-120.46,34.64,90.0
224,hasaki,62.82,100.0,2.24,2112802.0,JP,140.83,35.73,40.0
225,maldonado,64.4,68.0,5.82,3441894.0,UY,-54.96,-34.91,90.0
226,naze,78.16,89.0,5.12,2337542.0,NG,7.07,5.43,100.0
227,nikolskoye,50.79,87.0,6.71,546105.0,RU,30.79,59.7,90.0
228,duldurga,37.66,38.0,3.2,2024812.0,RU,113.59,50.67,0.0
229,leh,27.58,59.0,2.44,1264976.0,IN,77.58,34.16,97.0
230,lata,29.02,76.0,10.51,1253628.0,IN,78.62,30.78,6.0
233,tiksi,24.7,88.0,4.43,2015306.0,RU,128.87,71.64,5.0
234,qaanaaq,30.64,96.0,8.55,3831208.0,GL,-69.36,77.48,100.0
235,ilulissat,51.8,50.0,5.82,3423146.0,GL,-51.1,69.22,14.0
236,saint-augustin,64.47,68.0,11.41,3031582.0,FR,-0.61,44.83,75.0
237,saskylakh,29.2,93.0,8.99,2017155.0,RU,114.09,71.97,85.0
238,tessalit,104.8,9.0,12.17,2449893.0,ML,1.01,20.2,36.0
239,rayong,86.02,74.0,2.24,1607017.0,TH,101.28,12.68,20.0
240,sur,92.74,35.0,8.97,286245.0,OM,59.53,22.57,0.0
241,gazanjyk,91.12,21.0,10.76,161974.0,TM,55.52,39.24,52.0
242,staraya kulatka,58.18,91.0,9.15,489164.0,RU,47.62,52.73,95.0
243,roswell,79.84,44.0,13.87,5488441.0,US,-104.52,33.39,1.0
244,santa luzia,80.24,47.0,4.7,3450144.0,BR,-43.85,-19.77,40.0
245,sao filipe,73.12,71.0,11.1,3374210.0,CV,-24.5,14.9,0.0
246,san luis,66.82,30.0,8.14,3837056.0,AR,-66.34,-33.3,0.0
247,fairbanks,62.01,51.0,2.15,5861897.0,US,-147.72,64.84,1.0
248,sibolga,83.2,78.0,6.02,1213855.0,ID,98.78,1.74,100.0
249,pahrump,67.51,22.0,26.4,5509851.0,US,-115.98,36.21,40.0
250,narsaq,57.2,24.0,19.46,3421719.0,GL,-46.05,60.91,75.0
251,hamilton,72.68,49.0,14.99,5969785.0,CA,-79.87,43.26,75.0
252,fortuna,70.99,38.0,8.05,2517679.0,ES,-1.13,38.18,0.0
253,ayan,49.0,89.0,3.58,749747.0,TR,33.6,40.67,23.0
254,el dorado,89.5,44.0,6.13,3644689.0,VE,-61.64,6.71,68.0
255,leonidovo,39.64,98.0,4.41,2123805.0,RU,142.87,49.28,100.0
256,chicama,71.6,73.0,11.41,3698359.0,PE,-79.15,-7.84,75.0
258,umm lajj,83.92,75.0,6.29,100926.0,SA,37.27,25.02,0.0
259,acapulco,89.6,66.0,8.05,3533462.0,MX,-99.88,16.86,5.0
260,santa maria,71.6,68.0,5.82,3450083.0,BR,-53.81,-29.69,40.0
261,ubinskoye,41.08,65.0,8.99,1488708.0,RU,79.68,55.31,51.0
262,flinders,50.72,47.0,18.34,6255012.0,AU,150.85,-34.58,43.0
263,broome,64.22,72.0,11.41,2656067.0,GB,1.45,52.47,40.0
264,namibe,72.76,72.0,11.92,3347019.0,AO,12.15,-15.19,0.0
265,orange cove,52.75,93.0,8.05,5379533.0,US,-119.31,36.62,90.0
266,barra patuca,80.86,72.0,6.85,3614835.0,HN,-84.28,15.8,53.0
267,arlit,103.54,10.0,7.14,2447513.0,NE,7.39,18.74,75.0
268,chilia veche,69.93,64.0,5.82,682117.0,UA,29.29,45.41,9.0
269,conde,85.36,61.0,7.23,3465713.0,BR,-37.61,-11.81,39.0
270,bulungu,81.4,44.0,2.15,2316259.0,CD,18.6,-4.54,90.0
271,baker city,61.02,55.0,6.67,5712169.0,US,-117.83,44.77,20.0
272,rajakhera,89.01,37.0,1.12,1258930.0,IN,78.17,26.9,5.0
273,portland,59.65,67.0,5.95,5746545.0,US,-122.67,45.52,75.0
274,birkeland,54.23,50.0,11.41,3161532.0,NO,8.23,58.33,0.0
275,bereznik,50.26,77.0,5.86,577240.0,RU,42.71,62.86,38.0
276,jalingo,79.06,74.0,6.96,2340446.0,NG,12.82,10.21,97.0
277,yar-sale,28.3,88.0,5.99,1486321.0,RU,70.83,66.83,81.0
278,tafresh,74.92,28.0,4.38,113636.0,IR,50.01,34.69,91.0
279,homer,48.24,71.0,19.46,5864145.0,US,-151.54,59.64,90.0
280,mandalgovi,48.28,29.0,7.09,2030065.0,MN,106.27,45.76,0.0
281,kibala,86.0,55.0,6.93,2425791.0,TD,18.35,9.11,40.0
282,ulladulla,52.2,47.0,18.34,2145554.0,AU,150.48,-35.36,24.0
283,sitka,77.0,82.0,10.0,4267710.0,US,-99.65,37.17,98.0
284,leningradskiy,34.06,95.0,1.72,2123814.0,RU,178.42,69.38,34.0
285,takab,61.06,39.0,6.24,113508.0,IR,47.11,36.4,4.0
286,tarancon,78.51,26.0,12.75,3108317.0,ES,-3.01,40.01,0.0
288,goderich,58.71,66.0,13.0,5962442.0,CA,-81.71,43.74,100.0
289,rosa zarate,86.26,63.0,3.27,3652257.0,EC,-79.47,0.33,99.0
290,luganville,70.06,96.0,1.25,2136150.0,VU,167.18,-15.51,71.0
291,druzhba,70.0,56.0,1.99,691693.0,UA,25.65,49.36,10.0
292,valea lui mihai,69.8,68.0,3.36,663692.0,RO,22.13,47.52,0.0
293,ancud,50.0,71.0,6.93,3899695.0,CL,-73.83,-41.87,0.0
294,matagami,83.92,56.0,4.05,2335713.0,NG,8.4,9.67,94.0
295,peniche,69.42,68.0,16.11,2264923.0,PT,-9.38,39.36,0.0
296,miraflores,71.5,53.0,5.88,3674735.0,CO,-73.14,5.2,100.0
297,lebu,59.08,45.0,3.24,344979.0,ET,38.73,8.96,4.0
298,crawley,63.63,88.0,12.75,2652053.0,GB,-0.18,51.11,75.0
299,khonsa,68.98,90.0,1.99,1266668.0,IN,95.51,26.99,1.0
300,yumen,58.9,15.0,31.18,1528998.0,CN,97.04,40.29,99.0
301,bubaque,79.96,77.0,13.15,2374583.0,GW,-15.83,11.28,83.0
302,ribas do rio pardo,81.4,55.0,6.51,3451399.0,BR,-53.76,-20.45,0.0
303,marienburg,67.53,56.0,11.41,2803461.0,DE,9.98,52.12,0.0
304,saint-leu,69.76,64.0,9.17,6690297.0,RE,55.28,-21.15,20.0
305,arkhara,50.62,94.0,3.36,2027487.0,RU,130.09,49.42,100.0
306,tura,78.88,87.0,6.44,1254046.0,IN,90.21,25.52,1.0
307,ingham,63.04,98.0,2.57,2162737.0,AU,146.16,-18.65,14.0
308,sarandi,62.6,63.0,11.41,3447997.0,BR,-52.92,-27.94,0.0
309,biak,65.92,98.0,1.95,1637001.0,ID,122.88,-0.91,100.0
310,nieuw amsterdam,85.41,83.0,4.7,3383434.0,SR,-55.08,5.88,40.0
311,boundiali,82.3,67.0,1.77,2290836.0,CI,-6.48,9.53,100.0
312,aitape,79.06,80.0,4.07,2101169.0,PG,142.36,-3.15,88.0
314,manadhoo,84.46,77.0,11.86,1337618.0,MV,73.38,5.77,100.0
315,ca mau,82.48,81.0,3.49,1586443.0,VN,105.15,9.18,100.0
317,san patricio,62.14,86.0,4.36,3437029.0,PY,-56.83,-26.98,100.0
